Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Whitestone REIT,WSR,4.17%,23.72%,144.44%,340.00%,-4.17%,8.74%
Altus Power,AMPS,87.84%,,-75.00%,,0.00%,-169.23%
Auna S.A,AUNA,,,,,-28.57%,52.83%
ArriVent BioPharma,AVBP,,,,,16.67%,1.95%
Canopy Growth,CGC,-6.22%,25.42%,,,15.15%,-18.39%
Community Healthcare Trust,CHCT,15.63%,124.27%,14.29%,100.00%,11.32%,7.87%
Oatly Group AB,OTLY,10.13%,,,,11.11%,-32.14%
Old Second Bancorp,OSBC,45.07%,129.42%,107.41%,166.67%,-2.08%,-2.08%
Sunnova Energy,NOVA,13.18%,474.52%,,,27.85%,-2.63%
NB Bancorp,NBBK,,,,,35.29%,7.69%
CrossFirst Bankshares,CFB,97.98%,,6.45%,,5.88%,9.03%
Enerflex,EFXT,98.27%,,-108.33%,,-250.00%,192.00%
Sinovac Biotech,SVA,,,,,0.00%,
Tiptree Financial,TIPT,19.03%,164.89%,,700.00%,0.00%,
Castle Biosciences,CSTL,43.92%,,,,75.68%,3.47%
Taysha Gene Therapies,TSHA,,,,,9.09%,0.00%
Exscientia,EXAI,-25.21%,,,,0.00%,-2.80%
Insteel Industries,IIIN,-27.05%,30.80%,-72.45%,-19.40%,59.09%,148.39%
Limbach Holdings,LMB,7.54%,-10.50%,475.00%,411.11%,77.78%,19.68%
Univest Of Pennsylvania,UVSP,45.23%,78.03%,26.67%,280.00%,25.00%,-4.39%
Paragon 28,FNA,20.02%,,,,-63.64%,-22.22%
Pulse Biosciences,PLSE,,,,,0.00%,
First Community Bancshares,FCBC,18.55%,39.41%,-17.91%,1.85%,18.33%,-6.95%
BigCommerce Holdings,BIGC,10.62%,,,,44.44%,-14.29%
AdvanSix,ASIX,-26.69%,6.86%,-47.98%,27.47%,-3.28%,272.12%
MarineMax,HZO,4.84%,99.82%,-37.54%,164.00%,-75.34%,56.50%
Harrow,HROW,43.52%,222.45%,,-227.27%,-12.00%,-243.14%
Mercer,MERC,-7.42%,52.90%,-238.32%,-669.23%,0.00%,-189.29%
Dianthus Therapeutics,DNTH,,,,,-25.58%,16.67%
Arbutus Biopharma,ABUS,-67.35%,275.00%,,-1100.00%,0.00%,5.13%
Mineralys Therapeutics,MLYS,,,,,-2.94%,19.39%
VAREX IMAGING,VREX,8.25%,21.44%,5.00%,110.00%,-30.43%,27.69%
Valneva SE,VALN,,,,,15.58%,153.57%
Fidus Investment,FDUS,44.49%,68.75%,33.33%,41.94%,0.00%,-0.88%
Yext,YEXT,0.66%,95.04%,,,133.33%,133.33%
Heritage Financial,HFWA,31.66%,42.61%,-7.69%,37.14%,-2.44%,15.72%
Silence Therapeutics,SLN,79.95%,,,,78.26%,-10.53%
Definitive Healthcare,DH,11.75%,,,,-200.00%,50.00%
Ramaco Resources,METC,-0.86%,110.59%,-77.03%,-32.00%,-100.00%,52.67%
Groupon,GRPN,-15.74%,-79.09%,,,103.70%,-80.65%
NLight,LASR,-12.38%,3.07%,,-272.73%,3.33%,-14.61%
Intuitive Machines,LUNR,-6.40%,,,,-50.00%,-160.00%
Anterix,ATEX,79.41%,-65.73%,,,9.84%,773.91%
1-800 FLOWERS.COM,FLWS,-17.92%,73.45%,,,-3.70%,54.17%
MetroCity Bankshares,MCBS,38.64%,,-19.05%,,0.00%,
Covenant Logistics,CVLG,-13.66%,39.58%,-41.67%,68.52%,3.70%,25.49%
Gray Television,GTN,-6.34%,225.20%,-110.99%,-121.74%,46.30%,-105.34%
Mind Medicine (MindMed),MNMD,,,,,9.09%,2.94%
Fulgent Genetics,FLGT,-45.87%,1156.48%,-202.70%,,34.48%,-3.77%
Cartesian Therapeutics,RNAC,-86.63%,,-216.67%,,-143.21%,-313.45%
PetIQ,PETQ,24.82%,83.80%,100.00%,100.00%,50.00%,22.02%
Mercantile Bank,MBWM,55.55%,89.25%,71.62%,122.81%,17.54%,-8.98%
Hesai Group,HSAI,,,,,0.00%,-342.86%
Pharming Group,PHAR,,,,,-2000.00%,-766.67%
Hackett,HCKT,1.54%,3.45%,0.00%,-11.11%,3.23%,14.06%
HBT Financial,HBT,50.49%,,18.37%,,0.00%,-4.87%
Weave Communications,WEAV,19.30%,,,,0.00%,-17.95%
Pediatrix Medical,MD,2.99%,-42.13%,6.25%,-60.00%,13.33%,2.65%
Great Lakes Dredge & Dock,GLDD,-11.22%,-1.92%,,,416.67%,15.07%
EVgo,EVGO,456.72%,,-233.33%,,18.18%,-23.68%
TELUS (CDA),TIXT,6.89%,,-114.29%,,15.79%,11.46%
Great Southern Bancorp,GSBC,31.23%,41.79%,5.56%,56.70%,8.65%,3.34%
Quanterix,QTRX,32.04%,259.14%,,,21.21%,3.49%
Velocity Financial,VEL,,,16.13%,,27.50%,1.64%
Global Medical REIT,GMRE,7.86%,174.34%,500.00%,,4.55%,5.56%
Oil-Dri Of America,ODC,22.94%,62.58%,,144.00%,0.00%,
Overseas Shipholding,OSG,-9.63%,11.81%,275.00%,400.00%,0.00%,
Everi Holdings,EVRI,5.83%,75.87%,-12.12%,1350.00%,-70.59%,33.33%
"DINE BRANDS GLOBAL, INC",DIN,-12.35%,12.98%,-20.00%,68.12%,-16.35%,5.50%
CI&T,CINT,24.73%,,75.00%,,0.00%,25.93%
Oric Pharmaceuticals,ORIC,,,,,15.91%,12.50%
Safe Bulkers,SB,-22.90%,66.64%,-70.00%,,0.00%,12.79%
Similarweb,SMWB,12.80%,,,,50.00%,-26.67%
ITeos Therapeutics,ITOS,,,-740.00%,,-4.90%,26.04%
Viant Technology,DSP,11.76%,,,,-36.84%,-26.47%
InnovAge Holding,INNV,2.32%,,,,0.00%,-100.00%
HilleVax,HLVX,,,,,-15.48%,-4.14%
Stratasys,SSYS,-4.11%,-6.16%,,,0.00%,-158.62%
Titan,TWI,-16.01%,12.19%,-54.72%,700.00%,-34.09%,20.88%
Perion Network,PERI,21.69%,184.19%,4.88%,1333.33%,-2.78%,3.73%
Surmodics,SRDX,111.19%,136.08%,,,119.44%,-109.80%
Zymeworks,ZYME,28.68%,-68.18%,,,-35.48%,-37.50%
Liquidity Services,LQDT,15.60%,59.72%,-58.00%,,22.73%,
Omega Flex,OFLX,-18.61%,-3.76%,-16.67%,-4.26%,0.00%,
Coastal Financial,CCB,111.38%,1262.84%,25.00%,295.83%,-14.10%,66.77%
DoubleDown Interactive,DDI,-6.68%,,,,22.00%,3.29%
McEwen Mining,MUX,12.23%,1.75%,,,-1266.67%,-60.00%
Myers Industries,MYE,-10.60%,48.30%,-32.56%,11.54%,0.00%,-100.00%
Cresud S.A.C.I.F Y A,CRESY,-16.81%,-88.28%,16.33%,147.83%,0.00%,
Mitek Systems,MITK,9.87%,167.35%,,,-18.18%,23.29%
Movado Group,MOV,-12.26%,11.31%,-65.71%,-7.69%,0.00%,-100.00%
SunPower,SPWR,44.69%,-23.52%,-33.33%,,-80.00%,-50.00%
LoanDepot,LDI,-11.93%,,,,-187.50%,-200.00%
Diversified Healthcare Trust,DHC,10.60%,24.90%,,-157.69%,0.00%,127.27%
FRP Holdings,FRPH,11.11%,92.79%,-25.00%,-99.49%,0.00%,
Olympic Steel,ZEUS,-19.73%,25.69%,-60.12%,-6.47%,5.48%,23.08%
SiBone,SIBN,30.17%,143.85%,,,6.90%,-17.89%
Turning Point Brands,TPB,2.59%,30.21%,76.67%,12.77%,0.00%,
Ramaco Resources,METCB,,,,,0.00%,
Nano Dimension,NNDM,43.53%,2239.06%,,,0.00%,
Cass Information Systems,CASS,16.02%,39.38%,-16.13%,4.00%,-11.86%,29.36%
Geopark,GPRK,-26.77%,47.28%,-11.76%,60.71%,-8.47%,23.22%
Gladstone Commercial,GOOD,6.21%,45.39%,,,0.00%,2.76%
EZCORP,EZPW,18.52%,28.15%,41.18%,-4.00%,16.67%,1.80%
Designer Brands,DBI,-10.65%,4.21%,-50.00%,-43.33%,10.20%,26.32%
Douglas Dynamics,PLOW,10.51%,26.81%,34.67%,10.99%,-19.23%,46.15%
Digimarc,DMRC,12.65%,60.48%,,,0.00%,
AlTi Global,ALTI,174.64%,,-99.81%,,-250.00%,-2700.00%
Bowman Consulting Group,BWMN,32.63%,,,,450.00%,688.89%
Karat Packaging,KRT,-5.34%,,65.63%,,-9.09%,5.61%
PowerFleet,PWFL,-0.97%,145.44%,,,-85.71%,358.33%
Kimball Electronics,KE,32.84%,79.26%,90.00%,245.45%,-15.00%,8.50%
LendingTree,TREE,-30.34%,-0.90%,,-100.33%,144.00%,-800.00%
Permian Basin Royalty Trust,PBT,-20.45%,-20.34%,-25.00%,-20.00%,0.00%,
North American Construction Group,NOA,9.42%,133.77%,55.00%,,-1.96%,9.70%
UNIVERSAL INSURANCE HOLDINGS INC,UVE,16.29%,61.86%,287.50%,-27.91%,2.88%,15.22%
Vinci Partners Investments,VINP,-39.71%,,-3.03%,,0.00%,12.50%
D-MARKET Electronic Services & Trading,HEPS,34.81%,,,,0.00%,
Savara,SVRA,,,,,-10.00%,-12.20%
Travere Therapeutics,TVTX,10.21%,44.41%,,,-79.59%,-53.01%
Legacy Housing,LEGH,-18.02%,19.61%,-13.04%,76.47%,66.67%,6.41%
American Coastal Insurance,ACIC,24.08%,-56.70%,,20.59%,100.00%,16.67%
ATRenew,RERE,20.14%,,,,-80.00%,94.44%
United Fire,UFCS,21.66%,-3.02%,,-22400.00%,1.82%,36.36%
Dave,DAVE,33.68%,,,,0.00%,
Acacia Research,ACTG,-52.75%,21.73%,,,0.00%,
ADS-TEC Energy,ADSE,,,,,0.00%,-152.63%
"EYEPOINT PHARMACEUTICALS, INC",EYPT,-21.26%,879.57%,,,-61.76%,33.64%
Heron Therapeutics,HRTX,14.95%,83.80%,,,75.00%,-110.00%
Sun Country Airlines Holdings,SNCY,19.18%,,,,-4.35%,80.51%
Gannett,GCI,-10.19%,72.93%,,-145.00%,0.00%,
Accolade,ACCD,9.00%,,,,9.09%,-12.10%
ALX Oncology Holdings,ALXO,,,,,18.39%,-5.54%
Phathom Pharmaceuticals,PHAT,,,,,0.70%,-19.67%
Ituran Location And Control,ITRN,10.27%,25.98%,30.23%,3.70%,0.00%,
Community Health Systems,CYH,6.17%,-12.55%,,,26.32%,-131.25%
Valhi,VHI,-20.32%,-2.25%,-118.37%,-150.00%,0.00%,
CPB,CPF,10.47%,37.19%,-17.19%,10.42%,6.67%,17.50%
Lexeo Therapeutics,LXEO,,,,,-1.32%,-6.11%
Business First Bancshares,BFST,60.24%,386.62%,19.67%,121.21%,-12.28%,31.19%
Ennis,EBF,3.36%,19.13%,0.00%,25.00%,0.00%,
Ribbon Communications,RBBN,2.34%,53.33%,,,0.00%,-7.14%
Clover Health Investments,CLOV,-39.34%,,,,28.57%,14.29%
Third Harmonic Bio,THRD,,,,,39.39%,17.78%
Clearfield,CLFD,-13.99%,185.29%,-64.13%,153.85%,24.53%,-126.19%
Eagle Bancorp,EGBN,63.15%,62.11%,91.84%,-12.96%,-101.69%,72.06%
Bandwidth,BAND,6.87%,202.01%,,-130.00%,-133.33%,81.82%
New York Mortgage Trust,NYMT,-15.41%,-46.58%,,-151.25%,-350.00%,-228.26%
Olema Pharmaceuticals,OLMA,,,,,-5.66%,7.59%
Planet Labs PBC,PL,31.32%,,,,15.38%,-31.71%
Kyverna Therapeutics,KYTX,,,,,-27.27%,17.78%
Cognyte Software,CGNT,-15.24%,,,,0.00%,-13.33%
Horizon Bancorp (IN),HBNC,27.27%,76.91%,-24.56%,16.22%,6.67%,14.50%
IRadimed,IRMD,26.81%,118.56%,26.92%,200.00%,3.23%,21.28%
Berry,BRY,-9.39%,247.62%,-36.54%,,-22.22%,4.76%
National CineMedia,NCMI,-77.94%,-86.98%,,6160.00%,-137.50%,120.00%
Compass Minerals,CMP,-3.31%,,,,547.83%,-86.54%
Palmer Square Capital BDC,PSBD,66.30%,,,,6.12%,-7.46%
Greene County Bancorp,GCBC,34.58%,112.28%,-5.00%,80.95%,0.00%,
Altimmune,ALT,0.00%,-99.59%,,,5.56%,15.67%
Siga Technologies,SIGA,-64.73%,121.05%,-233.33%,,0.00%,-9.32%
York Water,YORW,25.97%,56.03%,25.00%,73.08%,3.45%,4.97%
Y-mAbs Therapeutics,YMAB,92.13%,,,,-25.00%,-22.22%
Bioventus,BVS,-2.32%,,,,240.00%,59.26%
PepGen,PEPG,,,,,14.86%,-3.14%
Ouster,OUST,87.80%,,,,0.00%,-100.00%
TrustCo Bank Corp NY,TRST,23.58%,23.06%,-7.53%,7.50%,6.67%,22.69%
National Presto Industries,NPK,2.35%,-0.35%,-18.09%,-50.00%,0.00%,
SelectQuote,SLQT,59.11%,,,,150.00%,-42.86%
Green Dot,GDOT,0.86%,38.70%,-96.30%,-98.18%,-24.59%,25.49%
Cross Country Healthcare,CCRN,-28.25%,164.31%,-57.14%,1400.00%,11.76%,39.73%
Cambridge Bancorp,CATC,35.29%,158.96%,-53.09%,-38.51%,-2.86%,-100.00%
LanzaTech Global,LNZA,31.17%,,,,0.00%,-53.66%
GRAVITY,GRVY,143.95%,191.59%,154.92%,645.45%,0.00%,
Independent Bank,IBCP,38.43%,61.54%,14.75%,94.44%,16.92%,1.69%
Farmland Partners,FPI,-6.31%,1.40%,200.00%,,500.00%,33.33%
Entrada Therapeutics,TRDA,,,,,278.95%,2357.14%
Magic Software Enterprises,MGIC,10.64%,122.15%,26.67%,137.50%,9.52%,4.21%
Daily Journal (S.C.),DJCO,38.07%,60.76%,,,0.00%,
Reservoir Media,RSVR,31.14%,,,,300.00%,50.00%
Cantaloupe,CTLP,10.58%,52.31%,,,20.00%,52.94%
Silvaco,SVCO,,,,,0.00%,
Consolidated Communications Holdings,CNSL,-7.79%,-21.43%,,,0.00%,
Waldencast,WALD,,,,,0.00%,11.11%
Astria Therapeutics,ATXS,,,,,-8.57%,14.74%
Applied Digital,APLD,193.09%,,-550.00%,,-333.33%,10.68%
Universal Health Realty Income Trust,UHT,7.40%,18.40%,-34.21%,-40.48%,0.00%,
SandRidge Energy,SD,-52.09%,-57.94%,-65.38%,,0.00%,
Ranpak Holdings Corp,PACK,-5.65%,25.61%,,-100.00%,0.00%,
Mesa Laboratories,MLAB,-5.59%,106.81%,,-89.57%,-0.68%,16.91%
Daktronics,DAKT,29.38%,51.87%,,,0.00%,-25.00%
ORTHOFIX MEDICAL INC,OFIX,58.40%,67.66%,-991.67%,-2240.00%,-75.93%,-70.21%
Gladstone Investment,GAIN,5.18%,30.97%,-27.78%,-73.74%,-7.69%,3.96%
SecureWorks,SCWX,-22.00%,-25.17%,,,86.67%,-24.00%
Equity Bancshares,EQBK,28.07%,57.09%,-21.28%,68.18%,21.18%,11.90%
Avid Bioservices,CDMO,27.44%,473.49%,-100.61%,-111.11%,-300.00%,-100.00%
GeneDx Holdings,WGS,34.67%,,,,51.47%,-50.99%
CompoSecure,CMPO,1.37%,,-44.23%,,4.17%,18.35%
Waterdrop,WDH,-13.75%,,-100.00%,,0.00%,
OmniAb,OABI,-3.47%,,,,-11.76%,-34.85%
Larimar Therapeutics,LRMR,,,,,-12.50%,72.09%
Adaptive Biotechnologies,ADPT,12.07%,,,,5.71%,-16.92%
CryoPort,CYRX,-11.11%,1131.53%,,,-16.22%,-25.55%
COMPASS Pathways,CMPS,,,,,-5.77%,-3.13%
Aerovate Therapeutics,AVTE,,,,,-12.16%,-7.82%
Aveanna Healthcare Holdings,AVAH,6.54%,,,,16.67%,-46.15%
Vnet Group,VNET,-2.44%,100.69%,-166.67%,,-1300.00%,
Heritage Commerce Corp,HTBK,32.35%,73.82%,12.50%,1250.00%,-10.53%,12.33%
ONESPAN INC,OSPN,5.57%,12.47%,,,185.71%,13.48%
Intchains Group,ICG,,,,,0.00%,
Cool,CLCO,,,,,0.00%,4.30%
One Liberty Properties,OLP,4.38%,13.47%,-62.03%,30.43%,17.07%,0.00%
Celcuity,CELC,,,,,9.86%,37.89%
Brasilagro Cia Brasileira De Propriedades Agricolas,LND,-70.78%,46.88%,-100.00%,-100.00%,0.00%,
Beyond Meat,BYND,-30.53%,488.08%,,,-5.88%,-28.91%
KalVista Pharmaceuticals,KALV,-9.41%,,,,-12.00%,-13.96%
Cabaletta Bio,CABA,,,,,-6.25%,15.46%
Bally's,BALY,9.72%,447.02%,-148.98%,-197.96%,-188.50%,-27.49%
Natural Grocers By Vitamin Cottage,NGVC,5.81%,32.22%,82.35%,244.44%,0.00%,-100.00%
IGM Biosciences,IGMS,21.62%,,,,1.19%,37.66%
Dingdong (Cayman),DDL,-15.26%,,,,-100.00%,85.71%
Franklin Covey,FC,7.95%,41.58%,-37.25%,,20.00%,24.42%
Applied Therapeutics,APLT,,,,,-128.57%,
Five Star Bancorp,FSBC,63.13%,,27.59%,,8.77%,13.02%
PennantPark Investment,PNNT,92.76%,81.79%,,33.33%,-4.35%,0.00%
Tejon Ranch Co,TRC,-34.20%,20.32%,,,0.00%,175.00%
Midland States Bancorp,MSBI,42.21%,60.85%,-11.34%,65.38%,-25.35%,12.59%
Neurogene,NGNE,,,,-133.33%,2.91%,-1.93%
Fulcrum Therapeutics,FULC,-88.42%,,,,2.27%,37.90%
Pacific Biosciences Of California,PACB,34.11%,120.44%,,,0.00%,-17.58%
Gladstone Capital,GLAD,65.60%,84.33%,,-28.89%,-55.36%,0.00%
Acco Brands,ACCO,-5.26%,-1.04%,-32.50%,12.50%,50.00%,16.82%
Tetra Technologies,TTI,24.69%,-32.53%,1300.00%,,150.00%,96.30%
Funko,FNKO,-23.97%,73.03%,-650.00%,,28.57%,-144.44%
MEREO BIOPHARMA,MREO,,,,,0.00%,0.00%
Gladstone Land,LAND,4.53%,86.22%,,,-6.67%,13.33%
Eventbrite,EB,19.49%,16.83%,,,16.67%,-93.33%
"Five Point Holdings, LLC",FPH,296.10%,63.10%,,,0.00%,
Macatawa Bank,MCBC,54.25%,48.97%,57.89%,50.00%,-3.33%,5.04%
Nano-X Imaging,NNOX,35.36%,,,,0.00%,-28.57%
HomeTrust Bancshares,HTBI,77.76%,94.63%,130.77%,119.51%,25.71%,
Calavo Growers,CVGW,-26.17%,-7.46%,,-128.75%,0.00%,32.69%
Hanmi Financial,HAFC,36.10%,56.01%,-18.29%,39.58%,-3.85%,9.41%
Radius Recycling,RDUS,-19.85%,24.09%,-81.35%,-64.12%,4.59%,-125.78%
Southern Missouri Bancorp,SMBC,66.09%,184.82%,-5.00%,111.11%,6.45%,2.41%
Oculis Holding AG,OCS,,,,,-7.32%,11.41%
SmartRent,SMRT,25.91%,,,,0.00%,-150.00%
Absci,ABSI,237.00%,,,,-15.79%,-18.75%
Korro Bio,KRRO,-53.59%,,,,-3.39%,11.31%
Alector,ALEC,-29.61%,690.58%,-83.33%,,20.83%,-8.12%
Camden National,CAC,29.31%,42.03%,-16.67%,8.97%,19.44%,10.53%
Runway Growth Finance,RWAY,67.40%,850.11%,,120.00%,0.00%,-2.78%
Oppenheimer Holdings,OPY,29.07%,26.23%,,-234.92%,0.00%,
TMC The Metals Company,TMC,,,,,-60.00%,-55.00%
Metropolitan Bank Holding,MCB,46.36%,327.51%,-33.82%,95.71%,14.06%,21.48%
CEVA,CEVA,-21.17%,49.63%,,,-42.86%,-31.25%
3D Systems,DDD,-12.02%,-25.12%,,,-142.86%,-60.00%
Greenlight Capital Re,GLRE,56.23%,115.36%,256.76%,,0.00%,
Lilium,LILM,,,,,0.00%,-7.02%
MaxCyte,MXCT,-5.93%,,,,35.71%,-9.80%
HarborOne Bancorp,HONE,36.14%,89.28%,-19.05%,183.33%,30.77%,21.88%
LSI Industries,LYTS,-3.00%,48.23%,47.37%,,12.50%,-2.44%
Haverty Furniture,HVT,-18.53%,3.78%,-44.92%,140.74%,-57.58%,76.58%
Enhabit,EHAB,-2.13%,,-463.41%,,40.00%,25.00%
Chuy's Holdings,CHUY,7.26%,11.91%,43.90%,55.26%,16.67%,14.13%
Capital City Bank Group,CCBG,32.50%,72.82%,95.12%,135.29%,5.71%,-3.53%
AC Immune,ACIU,-82.96%,,,,-40.00%,-140.00%
Boston Omaha,BOC,15.89%,710.03%,,,0.00%,
Farmers National Banc,FMNB,42.25%,116.30%,-14.89%,37.93%,3.03%,-0.76%
Nexxen,NEXN,-11.29%,,-271.43%,,0.00%,15.15%
Holley,HLLY,-2.32%,,-68.57%,,-100.00%,51.85%
Corbus Pharmaceuticals Holdings,CRBP,-74.32%,,,,23.85%,-1.02%
Voyager Therapeutics,VYGR,583.10%,87.98%,,,54.55%,12.23%
RealReal,REAL,-15.27%,,,,17.39%,-21.25%
MYT Netherlands Parent B.V,MYTE,12.22%,,,,0.00%,-124.00%
PlayAGS,AGS,17.30%,23.36%,-50.00%,,-100.00%,90.32%
Haverty Furniture,HVT.A,,,-44.88%,,0.00%,
Allient,ALNT,19.60%,83.51%,44.83%,40.00%,13.73%,19.25%
Sezzle,SEZL,19.45%,,,,0.00%,
ZimVie,ZIMV,-4.12%,,,,0.00%,-100.00%
INVESCO MORTGAGE CAPITAL INC,IVR,60.30%,-52.88%,,-100.42%,-18.87%,-0.24%
Biglari Holdings,BH,1.27%,-55.19%,,,0.00%,
Anywhere Real Estate,HOUS,-21.99%,-8.19%,-77.33%,-82.29%,-16.18%,-221.88%
TScan Therapeutics,TCRX,-22.41%,,,,-28.00%,12.80%
Youdao,DAO,-10.56%,,,,0.00%,
Vishay Precision,VPG,2.46%,22.32%,-24.05%,5.26%,31.25%,9.02%
Orchid Island Capital,ORC,13.16%,3.42%,,66.67%,0.00%,-133.33%
Peakstone Realty Trust,PKST,-49.18%,-27.27%,,-29075.00%,-10.26%,-3.63%
Lands' End,LE,1.94%,3.25%,,,-10.71%,40.00%
Village Super Market,VLGEA,5.44%,33.85%,,66.67%,0.00%,
Willdan,WLDN,16.01%,99.03%,,-91.67%,166.67%,9.74%
Washington Trust Bancorp,WASH,54.73%,51.08%,-42.11%,-34.65%,48.84%,11.96%
Crawford,CRD.A,9.91%,13.82%,41.67%,,0.00%,
Evolv Technologies Holdings,EVLV,118.63%,,,,42.86%,-18.92%
Annexon,ANNX,,,,,34.38%,1.01%
SES AI,SES,,,-233.33%,,0.00%,0.00%
Latham,SWIM,-14.35%,,25.00%,,53.33%,-66.67%
South Plains Financial,SPFI,64.34%,136.66%,94.32%,94.32%,10.34%,7.95%
Ocugen,OCGN,,,,,16.67%,23.08%
Talkspace,TALK,19.47%,,,,50.00%,-200.00%
Forward Air,FWRD,-21.94%,21.75%,-62.75%,-7.32%,-326.67%,-293.48%
Agriculture & Natural Solutions Acquisition,ANSC,,,,,0.00%,
Donegal,DGICA,12.18%,17.06%,,,-35.00%,85.71%
Manitowoc,MTW,21.24%,21.70%,35.71%,111.11%,-26.32%,9.60%
Perpetua Resources,PPTA,,,,,-25.00%,5.00%
Stoneridge,SRI,20.76%,20.95%,,-121.15%,0.00%,133.33%
Dada Nexus,DADA,17.97%,,,,-650.00%,104.55%
ADTRAN Holdings,ADTN,90.29%,155.67%,-1350.00%,,41.67%,-160.87%
Rackspace Technology,RXT,-3.35%,,,,15.38%,-113.16%
First Financial Indiana,THFF,24.71%,45.40%,4.72%,6.40%,-6.06%,34.03%
Erasca,ERAS,,,,,-9.52%,9.09%
Verve Therapeutics,VERV,,,,,13.24%,4.76%
Xponential Fitness,XPOF,29.85%,,-82.00%,,-11.11%,76.00%
Shyft,SHYF,-3.06%,22.35%,-13.33%,18.18%,65.22%,188.46%
Lovesac,LOVE,9.13%,427.42%,-345.45%,,-3.11%,54.24%
Global Indemnity,GBLI,-4.04%,10.83%,,34.00%,28.33%,5.76%
Hippo Holdings,HIPO,66.20%,,,,-4.26%,-55.02%
Titan Machinery,TITN,23.56%,133.73%,52.56%,,-38.81%,17.81%
Consolidated Water,CWCO,109.97%,193.76%,206.67%,228.57%,10.26%,15.79%
MarketWise,MKTW,-19.04%,,-100.00%,,0.00%,
Willis Lease Finance,WLFC,39.60%,38.50%,149.38%,60.32%,0.00%,
Eastman Kodak,KODK,-8.10%,-11.14%,68.42%,,0.00%,
Editas Medicine,EDIT,-54.56%,-60.79%,,,-20.63%,-0.74%
Cardlytics,CDLX,1.71%,115.63%,,,0.00%,
Allogene Therapeutics,ALLO,-55.56%,,,,0.00%,5.96%
Donegal,DGICB,12.18%,17.06%,,,0.00%,
WideOpenWest,WOW,-1.99%,-40.75%,-2600.00%,-516.67%,-20.00%,20.00%
Jin Medical,ZJYL,,,,,0.00%,
GrafTech,EAF,-48.97%,-59.34%,-106.82%,-104.48%,44.44%,-60.47%
Crawford,CRD.B,9.91%,13.82%,41.67%,,-23.53%,34.15%
Seneca Foods,SENEA,-0.40%,65.80%,-1862.50%,,0.00%,
Yirendai,YRD,-29.61%,-20.37%,27.27%,-50.00%,0.00%,
FlyExclusive,FLYX,,,,,0.00%,
Arrow Financial,AROW,22.38%,48.95%,-50.00%,-39.66%,-4.26%,18.34%
Theravance Biopharma,TBPH,24.43%,-41.44%,,,14.29%,-169.05%
Fate Therapeutics,FATE,-94.99%,-9.71%,,,0.00%,-25.26%
Lexicon Pharmaceuticals,LXRX,700.00%,-97.68%,,,-11.11%,-5.56%
Liberty TripAdvisor Holdings,LTRPB,51.49%,4.56%,-141.49%,,0.00%,
RCI Hospitality Holdings,RICK,8.98%,80.76%,-35.14%,74.55%,-90.12%,78.49%
Methode Electronics,MEI,4.33%,20.96%,-47.73%,-76.53%,-571.43%,-90.24%
Diamond Hill Investment,DHIL,-14.53%,-7.18%,127.14%,-22.06%,0.00%,
Lindblad Expeditions,LIND,37.28%,79.65%,,,-150.00%,-102.27%
OneWater Marine,ONEW,4.47%,,-49.48%,,-6.94%,13.37%
Genie Energy,GNE,39.62%,65.62%,-56.15%,,0.00%,
Chatham Lodging Trust (REIT),CLDT,3.33%,-1.04%,0.00%,-48.28%,23.08%,7.41%
Biote,BTMD,19.10%,,,,360.00%,0.00%
Greenfire Resources,GFR,,,,,0.00%,
Sohu,SOHU,-16.35%,-64.44%,-857.14%,,-175.00%,3.31%
Esperion Therapeutics,ESPR,36.89%,,,,525.00%,-740.00%
Applied Optoelectronics,AAOI,-20.42%,-52.61%,,-242.50%,-8.33%,-441.67%
"ACELYRIN, INC",SLRN,,,,,61.29%,22.52%
Carriage Services,CSV,7.81%,52.98%,-23.19%,253.33%,27.12%,13.27%
CTO Realty Growth,CTO,33.86%,107.57%,,-96.47%,36.84%,10.06%
CNB Financial,CCNE,39.28%,113.82%,-28.24%,10.91%,3.77%,16.59%
Maui Land & Pineapple,MLP,-82.34%,-16.55%,-111.11%,,0.00%,
Horizon Technology Finance,HRZN,51.26%,284.68%,-96.77%,-96.00%,5.56%,-3.38%
FuelCell Energy,FCEL,134.13%,84.11%,,,37.50%,-3.85%
ECARX Holdings,ECX,,,-144.44%,,0.00%,-100.00%
Hudson Technologies,HDSN,-12.96%,56.44%,-51.19%,,5.26%,29.73%
Solaris Oilfield Infrastructure,SOI,-10.97%,63.70%,50.00%,-40.00%,23.08%,51.02%
Skeena Resources,SKE,,,,,-475.00%,-100.00%
NETGEAR,NTGR,-22.31%,-32.07%,,,-10.26%,-40.50%
Nabors Energy Transition II,NETD,,,,,0.00%,
AerSale,ASLE,-50.34%,,-117.02%,,0.00%,112.50%
Bar Harbor Bankshares,BHB,4.07%,13.21%,4.11%,35.71%,1.54%,2.91%
Spirit Airlines,SAVE,4.82%,68.18%,,-112.50%,-2.10%,-39.85%
FibroBiologics,FBLG,,,,,0.00%,
Ispire Technology,ISPR,71.65%,,,,0.00%,-30.00%
Xperi,XPER,0.53%,,,,5.13%,-100.00%
IperionX,IPX,,,,,0.00%,
SmartFinancial,SMBK,36.01%,141.03%,-14.75%,62.50%,19.51%,15.59%
